customer_job_id,customer_id,root_id,created_at,current_job_total,old_sum,new_sum,versions,rank,delta,stored_delta
218,34,217,2024-01-09T04:27:57.846Z,88.50,0,88.00,2,1,88.00,-0.50
49035,67,221,2026-09-15T10:31:16.199Z,19086.25,0,19086.00,118,1,19086.00,-0.25
228,69,227,2024-01-09T04:52:56.997Z,526.50,0,526.00,2,1,526.00,-0.50
48639,72,233,2026-09-06T12:04:19.632Z,42651.50,0,42651.00,204,1,42651.00,-0.50
48636,53,235,2026-09-06T11:55:48.217Z,22286.50,0,22285.00,141,1,22285.00,-1.50
238,45,237,2024-01-09T19:53:48.100Z,607.50,0,607.00,2,1,607.00,-0.50
47780,53,596,2026-09-01T10:37:52.310Z,533.25,0,533.00,24,1,533.00,-0.25
18109,140,1002,2025-08-24T21:56:54.751Z,645.50,0,645.00,6,1,645.00,-0.50
43723,179,1343,2026-05-03T03:33:21.754Z,1235.00,0,960.00,5,1,960.00,-275.00
46490,59,1823,2026-07-18T06:48:32.857Z,711.25,0,711.00,7,1,711.00,-0.25
49013,230,4852,2026-09-14T21:16:18.049Z,3192.50,0,3192.00,13,1,3192.00,-0.50
22618,222,5667,2025-10-18T21:13:19.262Z,129.00,0,128.00,5,1,128.00,-1.00
44967,259,5821,2026-05-16T07:03:37.716Z,494.00,0,493.00,9,1,493.00,-1.00
48308,72,6222,2026-09-05T07:06:27.696Z,1109.50,0,1109.00,26,1,1109.00,-0.50
14775,266,7629,2025-06-30T22:47:20.025Z,2883.00,0,2882.00,16,1,2882.00,-1.00
46583,67,7795,2026-07-23T06:34:50.070Z,1349.50,0,1349.00,13,1,1349.00,-0.50
32774,61,7844,2026-02-03T00:30:12.871Z,750.50,0,750.00,22,1,750.00,-0.50
46313,122,8754,2026-07-11T06:55:34.520Z,3371.25,0,3371.00,14,1,3371.00,-0.25
11910,201,9007,2025-04-11T02:09:08.971Z,680.00,0,679.00,10,1,679.00,-1.00
9113,96,9020,2025-02-18T20:34:47.038Z,182.00,0,181.00,5,1,181.00,-1.00
9112,270,9039,2025-02-17T21:15:36.957Z,345.00,0,344.00,4,1,344.00,-1.00
9111,137,9059,2025-02-17T21:13:30.948Z,655.00,0,654.00,3,1,654.00,-1.00
9287,116,9063,2025-02-20T20:28:54.170Z,453.00,0,452.00,4,1,452.00,-1.00
45082,73,9091,2026-05-19T01:17:29.097Z,631.25,0,629.00,11,1,629.00,-2.25
13330,105,9565,2025-05-14T02:11:09.740Z,875.00,0,873.00,11,1,873.00,-2.00
