"root_id","payment_id","customer_id","account_id","customer_job_id","retainer_id","customer_invoice_id","payment_date","payment_amount","form_of_payment","payment_reference_number","is_transaction_billable","created_at","created_by_user_id","note"
"2","46","70","1","","","145","""2024-03-08T07:00:00.000Z""","-2000.00","Check","","true","""2024-03-09T02:54:55.362Z""","1",""
"2","198","70","1","","","474","""2024-06-10T07:00:00.000Z""","-500.00","Check","","true","""2024-06-10T18:21:24.387Z""","1",""
"2","324","70","1","","","764","""2024-11-25T07:00:00.000Z""","-141.00","Check","","true","""2024-11-25T18:59:14.228Z""","1",""
"10","252","45","1","","","615","""2024-09-20T07:00:00.000Z""","-1000.00","Credit Card","","true","""2024-09-23T20:33:33.595Z""","1",""
"10","354","45","1","","","843","""2025-01-27T07:00:00.000Z""","-1171.50","Check","","true","""2025-01-27T20:49:23.818Z""","1",""
"170","251","78","1","","","614","""2024-09-20T07:00:00.000Z""","-240.00","Credit Card","","true","""2024-09-23T20:33:00.048Z""","1",""
"170","349","78","1","","","838","""2025-01-27T07:00:00.000Z""","-385.00","Credit Card","","true","""2025-01-27T20:44:15.275Z""","1",""
"170","359","78","1","","","849","""2025-01-27T07:00:00.000Z""","-860.00","Credit Card","","true","""2025-01-30T01:46:55.053Z""","1",""
"310","140","125","1","","","363","""2024-04-13T07:00:00.000Z""","-387.50","Credit Card","","true","""2024-04-13T18:28:26.836Z""","1",""
"310","195","125","1","","","469","""2024-04-19T07:00:00.000Z""","-387.50","Credit Card","","true","""2024-06-10T18:16:50.052Z""","1",""
"320","255","79","1","","","618","""2024-09-20T07:00:00.000Z""","-73.00","Credit Card","","true","""2024-09-23T20:34:46.199Z""","1",""
"320","357","79","1","","","846","""2025-01-27T07:00:00.000Z""","-1397.00","Check","","true","""2025-01-27T20:50:11.324Z""","1",""
"503","208","229","1","","","504","""2024-06-10T07:00:00.000Z""","-4500.00","Check","","true","""2024-06-29T15:52:19.680Z""","1",""
"503","237","229","1","","","586","""2024-08-29T07:00:00.000Z""","-2500.00","Check","","true","""2024-08-30T03:04:35.781Z""","1",""
"596","245","62","1","","","608","""2024-09-20T07:00:00.000Z""","-350.00","Check","","true","""2024-09-20T16:29:28.804Z""","1",""
"596","260","62","1","","","623","""2024-09-30T07:00:00.000Z""","-33.00","Check","","true","""2024-10-01T20:58:40.194Z""","1",""
"644","325","70","1","","","765","""2024-11-25T07:00:00.000Z""","-359.00","Check","","true","""2024-11-25T18:59:27.815Z""","1",""
"644","353","70","1","","","842","""2025-01-27T07:00:00.000Z""","-500.00","Check","","true","""2025-01-27T20:48:37.560Z""","1",""
"644","795","70","1","","","1827","""2026-04-02T07:00:00.000Z""","-1275.00","Check","","true","""2026-04-03T11:48:00.218Z""","1",""
"990","425","67","1","","","1014","""2025-03-08T07:00:00.000Z""","-90.00","Check","","true","""2025-03-08T21:21:22.940Z""","1",""
"990","482","67","1","","","1114","""2025-04-01T07:00:00.000Z""","-455.00","Check","","true","""2025-04-01T18:35:36.854Z""","1",""
"1585","700","72","1","","","1586","""2025-11-26T07:00:00.000Z""","-837.00","Check","","true","""2025-11-27T00:47:29.141Z""","1",""
"1585","710","72","1","","","1620","""2025-12-31T07:00:00.000Z""","-837.00","Check","","true","""2026-01-01T10:15:39.685Z""","1",""
"1654","787","298","1","","","1819","""2026-03-23T07:00:00.000Z""","-1000.00","Check","","true","""2026-03-25T10:34:47.328Z""","1",""
"1654","800","298","1","","","1832","""2026-04-02T07:00:00.000Z""","-1000.00","Check","","true","""2026-04-03T12:11:21.001Z""","1",""
"1654","801","298","1","","","1833","""2026-04-02T07:00:00.000Z""","-1000.00","Check","","true","""2026-04-03T12:11:33.603Z""","1",""
"1654","898","298","1","","","2030","""2026-05-12T07:00:00.000Z""","-464.00","Check","","true","""2026-05-13T23:52:13.754Z""","1",""
"1773","772","154","1","","","1774","""2026-03-09T07:00:00.000Z""","-549.00","Credit Card","","true","""2026-03-11T09:59:28.655Z""","1",""
"1773","862","154","1","","","1950","""2026-04-03T07:00:00.000Z""","-549.00","Credit Card","","true","""2026-04-04T12:12:47.370Z""","1",""
"1855","808","250","1","","","1887","""2026-04-02T07:00:00.000Z""","-1113.00","Credit Card","","true","""2026-04-03T12:33:43.092Z""","1",""
"1855","852","250","1","","","1932","""2026-04-02T07:00:00.000Z""","-1113.00","Credit Card","","true","""2026-04-04T10:55:41.367Z""","1",""
"1863","812","227","1","","","1891","""2026-04-02T07:00:00.000Z""","-544.00","Credit Card","","true","""2026-04-03T12:34:53.244Z""","1",""
"1863","854","227","1","","","1935","""2026-04-03T07:00:00.000Z""","-544.00","Credit Card","","true","""2026-04-04T11:34:42.072Z""","1",""
